seed,topology_model,n_cells,n_sites,edit_states,dominant_state_prob,missing_rate,mutation_rate,repeat,triplet_samples_requested,sampled_triplets_inferred,possible_triplets,sampled_triplet_coverage,min_signal_gap,simulation_seconds,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,status,error
805122042,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,16,50000,46198,22238720,0.92396,0.03,0.1614358700001048,VanillaGreedy,0.8612,0.5666666666666667,0.0,1.175383844999942,ok,nan
805122042,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,16,50000,46198,22238720,0.92396,0.03,0.1614358700001048,UPGMA,0.9976,0.6627450980392157,0.0,1.6140066719999595,ok,nan
805122042,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,16,50000,46198,22238720,0.92396,0.03,0.1614358700001048,NeighborJoining,0.9986,0.7490196078431373,0.0,1.72332120499982,ok,nan
805122043,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,17,50000,44326,22238720,0.88652,0.03,0.2873149929998817,ConfidentWeightedTMC_SMJ32,0.9936,0.4272818455366098,1.9421319790001237,63.36277874899997,ok,nan
805122043,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,17,50000,44326,22238720,0.88652,0.03,0.2873149929998817,VanillaGreedy,0.9246,0.6549019607843137,0.0,0.969206665999991,ok,nan
805122043,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,17,50000,44326,22238720,0.88652,0.03,0.2873149929998817,UPGMA,0.9982,0.7274509803921569,0.0,1.7388964060000944,ok,nan
805122043,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,17,50000,44326,22238720,0.88652,0.03,0.2873149929998817,NeighborJoining,0.9694,0.8098039215686275,0.0,1.4380756909999943,ok,nan
805122044,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,18,50000,45242,22238720,0.90484,0.03,0.2919607629999063,ConfidentWeightedTMC_SMJ32,0.9936,0.3169508525576729,2.285423714999979,65.48592593000012,ok,nan
805122044,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,18,50000,45242,22238720,0.90484,0.03,0.2919607629999063,VanillaGreedy,0.9606,0.6274509803921569,0.0,0.8886947080000027,ok,nan
805122044,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,18,50000,45242,22238720,0.90484,0.03,0.2919607629999063,UPGMA,0.996,0.696078431372549,0.0,1.639455395999903,ok,nan
805122044,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,18,50000,45242,22238720,0.90484,0.03,0.2919607629999063,NeighborJoining,0.9976,0.8313725490196078,0.0,1.7822264829999312,ok,nan
805122045,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,19,50000,45776,22238720,0.91552,0.03,0.2157084360001135,ConfidentWeightedTMC_SMJ32,0.997,0.5,2.191726095999911,70.08307620200003,ok,nan
805122045,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,19,50000,45776,22238720,0.91552,0.03,0.2157084360001135,VanillaGreedy,0.9558,0.6431372549019607,0.0,0.837526969999999,ok,nan
805122045,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,19,50000,45776,22238720,0.91552,0.03,0.2157084360001135,UPGMA,0.9978,0.692156862745098,0.0,1.5916220849999263,ok,nan
805122045,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,19,50000,45776,22238720,0.91552,0.03,0.2157084360001135,NeighborJoining,0.9942,0.7862745098039216,0.0,1.608236777000002,ok,nan
805122046,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,20,50000,48163,22238720,0.96326,0.03,0.2664819890001126,ConfidentWeightedTMC_SMJ32,0.9908,0.4168336673346693,2.561926283000048,76.15705636200005,ok,nan
805122046,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,20,50000,48163,22238720,0.96326,0.03,0.2664819890001126,VanillaGreedy,0.9264,0.6450980392156862,0.0,1.2692999970001893,ok,nan
805122046,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,20,50000,48163,22238720,0.96326,0.03,0.2664819890001126,UPGMA,0.972,0.6823529411764706,0.0,1.5315963400000785,ok,nan
805122046,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,20,50000,48163,22238720,0.96326,0.03,0.2664819890001126,NeighborJoining,0.9684,0.7803921568627451,0.0,1.964285646999997,ok,nan
805122047,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,21,50000,44990,22238720,0.8998,0.03,0.3329003979999925,ConfidentWeightedTMC_SMJ32,0.9912,0.3787575150300601,2.617492448000121,71.56884282800002,ok,nan
805122047,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,21,50000,44990,22238720,0.8998,0.03,0.3329003979999925,VanillaGreedy,0.7582,0.6549019607843137,0.0,1.7502963459999137,ok,nan
805122047,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,21,50000,44990,22238720,0.8998,0.03,0.3329003979999925,UPGMA,0.8092,0.6843137254901961,0.0,2.0346507120000297,ok,nan
805122047,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,21,50000,44990,22238720,0.8998,0.03,0.3329003979999925,NeighborJoining,0.8004,0.7823529411764706,0.0,2.4039001550002013,ok,nan
805122048,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,22,50000,45436,22238720,0.90872,0.03,0.4714684420000594,ConfidentWeightedTMC_SMJ32,0.9924,0.4196787148594377,3.7657916010000463,72.52682606899975,ok,nan
805122048,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,22,50000,45436,22238720,0.90872,0.03,0.4714684420000594,VanillaGreedy,0.7998,0.7301275760549558,0.0,0.9374515529998462,ok,nan
805122048,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,22,50000,45436,22238720,0.90872,0.03,0.4714684420000594,UPGMA,0.7848,0.7764705882352941,0.0,1.3195264080000015,ok,nan
805122048,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,22,50000,45436,22238720,0.90872,0.03,0.4714684420000594,NeighborJoining,0.9934,0.8705882352941177,0.0,1.3993717039998046,ok,nan
805122049,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,23,50000,47100,22238720,0.942,0.03,0.234618090999902,ConfidentWeightedTMC_SMJ32,0.9924,0.4408817635270541,2.378911877000064,70.55406785100013,ok,nan
805122049,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,23,50000,47100,22238720,0.942,0.03,0.234618090999902,VanillaGreedy,0.7878,0.6261040235525024,0.0,1.2735698119995504,ok,nan
805122049,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,23,50000,47100,22238720,0.942,0.03,0.234618090999902,UPGMA,0.9994,0.6764705882352942,0.0,1.7422152369999822,ok,nan
805122049,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,23,50000,47100,22238720,0.942,0.03,0.234618090999902,NeighborJoining,0.9994,0.7784313725490196,0.0,1.747747908999827,ok,nan
805122050,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,24,50000,43956,22238720,0.87912,0.03,0.2798176969999986,ConfidentWeightedTMC_SMJ32,0.9934,0.3647294589178357,2.379075517000274,68.98576861499987,ok,nan
805122050,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,24,50000,43956,22238720,0.87912,0.03,0.2798176969999986,VanillaGreedy,0.8662,0.6196078431372549,0.0,1.0086063009998725,ok,nan
805122050,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,24,50000,43956,22238720,0.87912,0.03,0.2798176969999986,UPGMA,0.8172,0.6843137254901961,0.0,1.6161113209996074,ok,nan
805122050,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,24,50000,43956,22238720,0.87912,0.03,0.2798176969999986,NeighborJoining,0.9984,0.8058823529411765,0.0,2.4629239890000463,ok,nan
805122051,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,25,50000,44297,22238720,0.88594,0.03,0.4147724419999576,ConfidentWeightedTMC_SMJ32,0.9742,0.3734939759036144,3.476554020999629,84.02438857700008,ok,nan
805122051,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,25,50000,44297,22238720,0.88594,0.03,0.4147724419999576,VanillaGreedy,0.9476,0.6431372549019607,0.0,0.712401065999984,ok,nan
805122051,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,25,50000,44297,22238720,0.88594,0.03,0.4147724419999576,UPGMA,0.7872,0.7352941176470589,0.0,1.595571485000164,ok,nan
805122051,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,25,50000,44297,22238720,0.88594,0.03,0.4147724419999576,NeighborJoining,0.7826,0.8117647058823529,0.0,1.4174915220000912,ok,nan
805122052,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,26,50000,44731,22238720,0.89462,0.03,0.2120638040000813,ConfidentWeightedTMC_SMJ32,0.909,0.3493975903614458,1.8838406380000376,68.9781652900001,ok,nan
805122052,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,26,50000,44731,22238720,0.89462,0.03,0.2120638040000813,VanillaGreedy,0.93,0.6607843137254902,0.0,1.3651241169995956,ok,nan
805122052,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,26,50000,44731,22238720,0.89462,0.03,0.2120638040000813,UPGMA,0.9952,0.7078431372549019,0.0,1.382451303999915,ok,nan
805122052,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,26,50000,44731,22238720,0.89462,0.03,0.2120638040000813,NeighborJoining,0.7924,0.7901960784313725,0.0,1.519749633000174,ok,nan
805122053,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,27,50000,44977,22238720,0.89954,0.03,0.1928466109998226,ConfidentWeightedTMC_SMJ32,0.9838,0.3807615230460922,1.7547253869997803,64.80864801500002,ok,nan
805122053,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,27,50000,44977,22238720,0.89954,0.03,0.1928466109998226,VanillaGreedy,0.9482,0.6176470588235294,0.0,0.9741746270001386,ok,nan
805122053,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,27,50000,44977,22238720,0.89954,0.03,0.1928466109998226,UPGMA,0.9968,0.6764705882352942,0.0,1.629782342999988,ok,nan
805122053,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,27,50000,44977,22238720,0.89954,0.03,0.1928466109998226,NeighborJoining,0.964,0.8176470588235294,0.0,1.7605727760001173,ok,nan
805122054,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,28,50000,46049,22238720,0.92098,0.03,0.2613453109997863,ConfidentWeightedTMC_SMJ32,0.9526,0.364,2.168643113000144,58.09501326999998,ok,nan
805122054,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,28,50000,46049,22238720,0.92098,0.03,0.2613453109997863,VanillaGreedy,0.8114,0.7,0.0,0.8490332309997939,ok,nan
805122054,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,28,50000,46049,22238720,0.92098,0.03,0.2613453109997863,UPGMA,0.9454,0.6882352941176471,0.0,1.265903895000065,ok,nan
805122054,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,28,50000,46049,22238720,0.92098,0.03,0.2613453109997863,NeighborJoining,0.9918,0.7843137254901961,0.0,1.452288820999911,ok,nan
805122055,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,29,50000,46165,22238720,0.9233,0.03,0.1988811070000338,ConfidentWeightedTMC_SMJ32,0.9896,0.3971915747241725,1.7347822789997736,62.38021328200011,ok,nan
805122055,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,29,50000,46165,22238720,0.9233,0.03,0.1988811070000338,VanillaGreedy,0.9082,0.6215686274509804,0.0,0.7741020479998042,ok,nan
805122055,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,29,50000,46165,22238720,0.9233,0.03,0.1988811070000338,UPGMA,0.9476,0.6490196078431373,0.0,1.266136600000209,ok,nan
805122055,balanced_random_40_60_splits,512,30,10,0.0,0.0,0.8,29,50000,46165,22238720,0.9233,0.03,0.1988811070000338,NeighborJoining,0.9986,0.7862745098039216,0.0,1.587030193999908,ok,nan
