Algorithm,RF_Score
UPGMA,0.025210084033613446
UPGMA,0.03333333333333333
UPGMA,0.008264462809917356
UPGMA,0.0
UPGMA,0.05785123966942149
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.01639344262295082
UPGMA,0.03389830508474576
UPGMA,0.03389830508474576
UPGMA,0.01639344262295082
UPGMA,0.07692307692307693
UPGMA,0.07563025210084033
UPGMA,0.025210084033613446
UPGMA,0.03333333333333333
UPGMA,0.0
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.05982905982905983
UPGMA,0.03333333333333333
UPGMA,0.008264462809917356
UPGMA,0.06666666666666667
UPGMA,0.016666666666666666
UPGMA,0.01639344262295082
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.05
UPGMA,0.008264462809917356
UPGMA,0.01639344262295082
UPGMA,0.04201680672268908
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
UPGMA,0.008264462809917356
NeighborJoining,0.008264462809917356
NeighborJoining,0.04918032786885246
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.01639344262295082
NeighborJoining,0.01639344262295082
NeighborJoining,0.0
NeighborJoining,0.008264462809917356
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.03278688524590164
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.03333333333333333
NeighborJoining,0.05
NeighborJoining,0.024793388429752067
NeighborJoining,0.008264462809917356
NeighborJoining,0.03333333333333333
NeighborJoining,0.01639344262295082
NeighborJoining,0.0
NeighborJoining,0.008264462809917356
NeighborJoining,0.0
NeighborJoining,0.01639344262295082
NeighborJoining,0.05785123966942149
NeighborJoining,0.03333333333333333
NeighborJoining,0.024793388429752067
NeighborJoining,0.0
NeighborJoining,0.03278688524590164
NeighborJoining,0.01639344262295082
NeighborJoining,0.06666666666666667
NeighborJoining,0.03278688524590164
NeighborJoining,0.01639344262295082
NeighborJoining,0.04132231404958678
NeighborJoining,0.03278688524590164
NeighborJoining,0.06557377049180328
NeighborJoining,0.04132231404958678
NeighborJoining,0.008264462809917356
NeighborJoining,0.01639344262295082
NeighborJoining,0.05785123966942149
NeighborJoining,0.0
NeighborJoining,0.01639344262295082
NeighborJoining,0.016666666666666666
NeighborJoining,0.03278688524590164
NeighborJoining,0.0
NeighborJoining,0.024793388429752067
NeighborJoining,0.05
NeighborJoining,0.024793388429752067
NeighborJoining,0.008264462809917356
NeighborJoining,0.0
NeighborJoining,0.008264462809917356
NeighborJoining,0.01639344262295082
NeighborJoining,0.0743801652892562
NeighborJoining,0.008264462809917356
NeighborJoining,0.0
NeighborJoining,0.024793388429752067
NeighborJoining,0.016666666666666666
NeighborJoining,0.024793388429752067
NeighborJoining,0.05785123966942149
NeighborJoining,0.008264462809917356
NeighborJoining,0.03278688524590164
NeighborJoining,0.0
NeighborJoining,0.01639344262295082
NeighborJoining,0.016666666666666666
NeighborJoining,0.01639344262295082
NeighborJoining,0.016666666666666666
NeighborJoining,0.01639344262295082
NeighborJoining,0.024793388429752067
NeighborJoining,0.0
NeighborJoining,0.008264462809917356
NeighborJoining,0.008264462809917356
NeighborJoining,0.03278688524590164
NeighborJoining,0.03333333333333333
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.024793388429752067
NeighborJoining,0.1
NeighborJoining,0.01639344262295082
NeighborJoining,0.06666666666666667
NeighborJoining,0.04132231404958678
NeighborJoining,0.0
NeighborJoining,0.03333333333333333
NeighborJoining,0.0
NeighborJoining,0.04132231404958678
NeighborJoining,0.0
NeighborJoining,0.05
NeighborJoining,0.024793388429752067
NeighborJoining,0.008264462809917356
NeighborJoining,0.024793388429752067
NeighborJoining,0.01639344262295082
NeighborJoining,0.03278688524590164
NeighborJoining,0.008264462809917356
NeighborJoining,0.01639344262295082
NeighborJoining,0.04918032786885246
NeighborJoining,0.01639344262295082
NeighborJoining,0.0
NeighborJoining,0.016666666666666666
NeighborJoining,0.0
NeighborJoining,0.0
NeighborJoining,0.01639344262295082
