Simulation_ID,Required_k,Target_Accuracy,Type
1,100,1.0,Simulated (MAX-Cut)
2,100,1.0,Simulated (MAX-Cut)
3,100,1.0,Simulated (MAX-Cut)
4,100,1.0,Simulated (MAX-Cut)
5,100,1.0,Simulated (MAX-Cut)
6,100,1.0,Simulated (MAX-Cut)
7,100,1.0,Simulated (MAX-Cut)
8,100,1.0,Simulated (MAX-Cut)
9,100,1.0,Simulated (MAX-Cut)
10,100,1.0,Simulated (MAX-Cut)
11,100,1.0,Simulated (MAX-Cut)
12,100,1.0,Simulated (MAX-Cut)
13,100,1.0,Simulated (MAX-Cut)
14,100,1.0,Simulated (MAX-Cut)
15,100,1.0,Simulated (MAX-Cut)
16,100,1.0,Simulated (MAX-Cut)
17,100,1.0,Simulated (MAX-Cut)
18,100,1.0,Simulated (MAX-Cut)
19,100,1.0,Simulated (MAX-Cut)
20,100,1.0,Simulated (MAX-Cut)
1,150,1.0,Simulated (MAX-Cut)
2,150,1.0,Simulated (MAX-Cut)
3,150,1.0,Simulated (MAX-Cut)
4,150,1.0,Simulated (MAX-Cut)
5,150,1.0,Simulated (MAX-Cut)
6,150,1.0,Simulated (MAX-Cut)
7,150,1.0,Simulated (MAX-Cut)
8,150,1.0,Simulated (MAX-Cut)
9,150,1.0,Simulated (MAX-Cut)
10,150,1.0,Simulated (MAX-Cut)
11,150,1.0,Simulated (MAX-Cut)
12,150,1.0,Simulated (MAX-Cut)
13,150,1.0,Simulated (MAX-Cut)
14,150,1.0,Simulated (MAX-Cut)
15,150,1.0,Simulated (MAX-Cut)
16,150,1.0,Simulated (MAX-Cut)
17,150,1.0,Simulated (MAX-Cut)
18,150,1.0,Simulated (MAX-Cut)
19,150,1.0,Simulated (MAX-Cut)
20,150,1.0,Simulated (MAX-Cut)
1,200,1.0,Simulated (MAX-Cut)
2,200,1.0,Simulated (MAX-Cut)
3,200,1.0,Simulated (MAX-Cut)
4,200,1.0,Simulated (MAX-Cut)
5,200,1.0,Simulated (MAX-Cut)
6,200,1.0,Simulated (MAX-Cut)
7,200,1.0,Simulated (MAX-Cut)
8,200,1.0,Simulated (MAX-Cut)
9,200,1.0,Simulated (MAX-Cut)
10,200,1.0,Simulated (MAX-Cut)
11,200,1.0,Simulated (MAX-Cut)
12,200,1.0,Simulated (MAX-Cut)
13,200,1.0,Simulated (MAX-Cut)
14,200,1.0,Simulated (MAX-Cut)
15,200,1.0,Simulated (MAX-Cut)
16,200,1.0,Simulated (MAX-Cut)
17,200,1.0,Simulated (MAX-Cut)
18,200,1.0,Simulated (MAX-Cut)
19,200,1.0,Simulated (MAX-Cut)
20,200,1.0,Simulated (MAX-Cut)
