repeat,seed,n_cells,n_sites,edit_states,missing_rate,algorithm,possible_triplets,inferred_triplets,triplet_coverage,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds
43,6403048,64,30,3,0.0,VanillaGreedy,41664,38456,0.9230030721966206,0.6744,0.5,0.0,0.048579382000070837
43,6403048,64,30,3,0.0,UPGMA,41664,38456,0.9230030721966206,0.966,0.8709677419354839,0.0,0.6081269479999492
43,6403048,64,30,3,0.0,NeighborJoining,41664,38456,0.9230030721966206,0.97,0.9032258064516129,0.0,0.3936089119999906
44,6403049,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38996,0.9359639016897081,0.927,0.9411764705882353,0.9898093990000234,5.391711142999952
44,6403049,64,30,3,0.0,VanillaGreedy,41664,38996,0.9359639016897081,0.6866,0.5,0.0,0.06092397699990215
44,6403049,64,30,3,0.0,UPGMA,41664,38996,0.9359639016897081,0.9992,0.9032258064516129,0.0,0.4195749259999957
44,6403049,64,30,3,0.0,NeighborJoining,41664,38996,0.9359639016897081,0.9744,0.9193548387096774,0.0,0.5945827210000516
45,6403050,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39208,0.9410522273425499,0.9396,0.8135593220338984,0.9467738250000366,6.030283912999948
45,6403050,64,30,3,0.0,VanillaGreedy,41664,39208,0.9410522273425499,0.7458,0.4838709677419355,0.0,0.05225087700000586
45,6403050,64,30,3,0.0,UPGMA,41664,39208,0.9410522273425499,0.9878,0.8225806451612903,0.0,0.36432960600006936
45,6403050,64,30,3,0.0,NeighborJoining,41664,39208,0.9410522273425499,0.9904,0.8387096774193549,0.0,0.38109025999995083
46,6403051,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38814,0.9315956221198156,0.8024,0.864406779661017,0.8855234819999396,6.1992729380000355
46,6403051,64,30,3,0.0,VanillaGreedy,41664,38814,0.9315956221198156,0.7892,0.4032258064516129,0.0,0.058025222999958714
46,6403051,64,30,3,0.0,UPGMA,41664,38814,0.9315956221198156,0.9986,0.8225806451612903,0.0,0.4218976139999313
46,6403051,64,30,3,0.0,NeighborJoining,41664,38814,0.9315956221198156,0.9994,0.9193548387096774,0.0,0.5603144210000437
47,6403052,64,30,3,0.0,FullTripletTMC_SMJ16,41664,39856,0.956605222734255,0.9272,0.8067226890756303,2.1718230530000255,7.447755677000032
47,6403052,64,30,3,0.0,VanillaGreedy,41664,39856,0.956605222734255,0.774,0.6612903225806452,0.0,0.06817798999998104
47,6403052,64,30,3,0.0,UPGMA,41664,39856,0.956605222734255,0.9954,0.7580645161290323,0.0,0.514730100999941
47,6403052,64,30,3,0.0,NeighborJoining,41664,39856,0.956605222734255,0.9988,0.9032258064516129,0.0,0.5058575360000077
48,6403053,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38826,0.9318836405529954,0.9698,0.8717948717948718,1.2797469799999135,9.324749892
48,6403053,64,30,3,0.0,VanillaGreedy,41664,38826,0.9318836405529954,0.6202,0.532258064516129,0.0,0.08242920099996809
48,6403053,64,30,3,0.0,UPGMA,41664,38826,0.9318836405529954,0.8,0.8387096774193549,0.0,0.4978745419999768
48,6403053,64,30,3,0.0,NeighborJoining,41664,38826,0.9318836405529954,0.84,0.8870967741935484,0.0,0.5543547529999842
49,6403054,64,30,3,0.0,FullTripletTMC_SMJ16,41664,38792,0.9310675883256528,0.929,0.9411764705882353,1.7694573689999515,6.793133431000001
49,6403054,64,30,3,0.0,VanillaGreedy,41664,38792,0.9310675883256528,0.6994,0.564516129032258,0.0,0.06826872900001035
49,6403054,64,30,3,0.0,UPGMA,41664,38792,0.9310675883256528,0.98,0.7096774193548387,0.0,0.5169773040000791
49,6403054,64,30,3,0.0,NeighborJoining,41664,38792,0.9310675883256528,0.9774,0.8709677419354839,0.0,0.4454345159999775
0,6403305,64,30,3,0.3,FullTripletTMC_SMJ16,41664,37253,0.8941292242703534,0.9236,0.44067796610169496,1.0690146829999776,6.147712510999895
0,6403305,64,30,3,0.3,VanillaGreedy,41664,37253,0.8941292242703534,0.8564,0.3739837398373984,0.0,0.06191345599995657
