seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122036,random_binary_leaf_splitting,512,30,0.1,0.8,10,50000,22238720,0.19756979600015256,48358,0.96716,NeighborJoining,0.44,0.025490196078431393,0.0,1.0751773270001195,0.7082576360000985,ok,
305122037,random_binary_leaf_splitting,512,30,0.1,0.8,11,50000,22238720,0.29058324600009655,48381,0.96762,SampledRecursiveTMC_SMJ32,0.6038,0.0,1.70738517399991,66.94846990399992,0.727070822000087,ok,
305122037,random_binary_leaf_splitting,512,30,0.1,0.8,11,50000,22238720,0.29058324600009655,48381,0.96762,VanillaGreedy,0.6914,0.02352941176470591,0.0,1.1171799940000255,0.7125447549999535,ok,
305122037,random_binary_leaf_splitting,512,30,0.1,0.8,11,50000,22238720,0.29058324600009655,48381,0.96762,UPGMA,0.6478,0.06470588235294117,0.0,1.3880508679999366,0.6895162729999811,ok,
305122037,random_binary_leaf_splitting,512,30,0.1,0.8,11,50000,22238720,0.29058324600009655,48381,0.96762,NeighborJoining,0.5146,0.0607843137254902,0.0,1.2696125200000097,0.7285633649998999,ok,
305122038,random_binary_leaf_splitting,512,30,0.1,0.8,12,50000,22238720,0.22529712899995502,48316,0.96632,SampledRecursiveTMC_SMJ32,0.5018,0.0,1.7721993140000905,71.69394466500012,0.8937648359999457,ok,
305122038,random_binary_leaf_splitting,512,30,0.1,0.8,12,50000,22238720,0.22529712899995502,48316,0.96632,VanillaGreedy,0.564,0.037291462217860616,0.0,1.4986410240001078,0.9361673349999364,ok,
305122038,random_binary_leaf_splitting,512,30,0.1,0.8,12,50000,22238720,0.22529712899995502,48316,0.96632,UPGMA,0.6134,0.050980392156862786,0.0,1.625943136999922,1.124646881999979,ok,
305122038,random_binary_leaf_splitting,512,30,0.1,0.8,12,50000,22238720,0.22529712899995502,48316,0.96632,NeighborJoining,0.5434,0.06666666666666665,0.0,1.5301778289999675,0.9290441640000608,ok,
305122039,random_binary_leaf_splitting,512,30,0.1,0.8,13,50000,22238720,0.24985121399981836,48235,0.9647,SampledRecursiveTMC_SMJ32,0.6634,0.0,1.9756466649998856,66.88235246099998,0.7739462730000923,ok,
305122039,random_binary_leaf_splitting,512,30,0.1,0.8,13,50000,22238720,0.24985121399981836,48235,0.9647,VanillaGreedy,0.5932,0.03137254901960784,0.0,1.11641310899995,0.7721178869999221,ok,
305122039,random_binary_leaf_splitting,512,30,0.1,0.8,13,50000,22238720,0.24985121399981836,48235,0.9647,UPGMA,0.616,0.08431372549019611,0.0,1.1816850420000264,0.6620929320001778,ok,
305122039,random_binary_leaf_splitting,512,30,0.1,0.8,13,50000,22238720,0.24985121399981836,48235,0.9647,NeighborJoining,0.5696,0.07058823529411762,0.0,1.317714818000013,0.7104164090001177,ok,
305122040,random_binary_leaf_splitting,512,30,0.1,0.8,14,50000,22238720,0.23740795499998057,48461,0.96922,SampledRecursiveTMC_SMJ32,0.593,0.0,1.6830862290000823,55.00627945700012,0.6002405729998372,ok,
305122040,random_binary_leaf_splitting,512,30,0.1,0.8,14,50000,22238720,0.23740795499998057,48461,0.96922,VanillaGreedy,0.7828,0.019607843137254943,0.0,1.167530467000006,0.7017516920000162,ok,
305122040,random_binary_leaf_splitting,512,30,0.1,0.8,14,50000,22238720,0.23740795499998057,48461,0.96922,UPGMA,0.684,0.027450980392156876,0.0,1.1024721480000608,0.6629797670000244,ok,
