p_miss,p_miss_val,k_cand,Raw_Accuracy,Success_Probability
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
0% Dropout,0.0,200,1.0,1
10% Dropout,0.1,5,0.3694,0
10% Dropout,0.1,5,0.7702,0
10% Dropout,0.1,5,0.5348,0
10% Dropout,0.1,5,0.3486,0
10% Dropout,0.1,5,0.4198,0
10% Dropout,0.1,5,0.3574,0
10% Dropout,0.1,5,0.4312,0
10% Dropout,0.1,5,0.5198,0
10% Dropout,0.1,5,0.856,0
10% Dropout,0.1,5,0.8644,0
10% Dropout,0.1,5,0.8974,0
10% Dropout,0.1,5,0.4602,0
10% Dropout,0.1,5,0.8156,0
10% Dropout,0.1,5,0.4482,0
10% Dropout,0.1,5,0.75,0
10% Dropout,0.1,5,0.369,0
10% Dropout,0.1,5,0.4218,0
10% Dropout,0.1,5,0.554,0
10% Dropout,0.1,5,0.8794,0
10% Dropout,0.1,5,0.9034,1
10% Dropout,0.1,5,0.8516,0
10% Dropout,0.1,5,0.5202,0
10% Dropout,0.1,5,0.383,0
10% Dropout,0.1,5,0.5074,0
10% Dropout,0.1,5,0.8524,0
10% Dropout,0.1,5,0.5268,0
10% Dropout,0.1,5,0.6136,0
10% Dropout,0.1,5,0.693,0
10% Dropout,0.1,5,0.3272,0
10% Dropout,0.1,5,0.4414,0
10% Dropout,0.1,10,0.9642,1
10% Dropout,0.1,10,0.5388,0
10% Dropout,0.1,10,0.7712,0
10% Dropout,0.1,10,0.9426,1
10% Dropout,0.1,10,0.6014,0
10% Dropout,0.1,10,0.5792,0
10% Dropout,0.1,10,0.8434,0
10% Dropout,0.1,10,0.777,0
10% Dropout,0.1,10,0.557,0
10% Dropout,0.1,10,0.5356,0
10% Dropout,0.1,10,0.8812,0
10% Dropout,0.1,10,0.9066,1
10% Dropout,0.1,10,0.4668,0
10% Dropout,0.1,10,0.9414,1
10% Dropout,0.1,10,0.5816,0
10% Dropout,0.1,10,0.7116,0
10% Dropout,0.1,10,0.4896,0
10% Dropout,0.1,10,0.7384,0
10% Dropout,0.1,10,0.9302,1
10% Dropout,0.1,10,0.9112,1
10% Dropout,0.1,10,0.9108,1
10% Dropout,0.1,10,0.7264,0
10% Dropout,0.1,10,0.8912,0
10% Dropout,0.1,10,0.8558,0
10% Dropout,0.1,10,0.5576,0
10% Dropout,0.1,10,0.895,0
10% Dropout,0.1,10,0.541,0
10% Dropout,0.1,10,0.922,1
10% Dropout,0.1,10,0.7748,0
10% Dropout,0.1,10,0.555,0
10% Dropout,0.1,15,0.9432,1
10% Dropout,0.1,15,0.9684,1
10% Dropout,0.1,15,0.6444,0
10% Dropout,0.1,15,0.4748,0
10% Dropout,0.1,15,0.4332,0
10% Dropout,0.1,15,0.4846,0
10% Dropout,0.1,15,0.7846,0
10% Dropout,0.1,15,0.601,0
10% Dropout,0.1,15,0.5014,0
10% Dropout,0.1,15,0.931,1
10% Dropout,0.1,15,0.5482,0
10% Dropout,0.1,15,0.6092,0
10% Dropout,0.1,15,0.852,0
10% Dropout,0.1,15,0.536,0
10% Dropout,0.1,15,0.4158,0
10% Dropout,0.1,15,0.4366,0
10% Dropout,0.1,15,0.9636,1
10% Dropout,0.1,15,0.7814,0
10% Dropout,0.1,15,0.9734,1
10% Dropout,0.1,15,0.8148,0
10% Dropout,0.1,15,0.5248,0
10% Dropout,0.1,15,0.9742,1
10% Dropout,0.1,15,0.8874,0
10% Dropout,0.1,15,0.9424,1
10% Dropout,0.1,15,0.5276,0
10% Dropout,0.1,15,0.785,0
10% Dropout,0.1,15,0.9356,1
10% Dropout,0.1,15,0.9368,1
10% Dropout,0.1,15,0.9818,1
10% Dropout,0.1,15,0.6252,0
10% Dropout,0.1,20,0.9652,1
10% Dropout,0.1,20,0.8814,0
10% Dropout,0.1,20,0.9258,1
10% Dropout,0.1,20,0.975,1
10% Dropout,0.1,20,0.5966,0
10% Dropout,0.1,20,0.9252,1
10% Dropout,0.1,20,0.9004,1
10% Dropout,0.1,20,0.916,1
10% Dropout,0.1,20,0.6676,0
10% Dropout,0.1,20,0.9648,1
10% Dropout,0.1,20,0.9452,1
10% Dropout,0.1,20,0.9026,1
10% Dropout,0.1,20,0.8652,0
10% Dropout,0.1,20,0.9252,1
10% Dropout,0.1,20,0.9762,1
10% Dropout,0.1,20,0.7872,0
10% Dropout,0.1,20,0.9296,1
10% Dropout,0.1,20,0.9374,1
10% Dropout,0.1,20,0.741,0
10% Dropout,0.1,20,0.9392,1
10% Dropout,0.1,20,0.5476,0
10% Dropout,0.1,20,0.5326,0
10% Dropout,0.1,20,0.9502,1
10% Dropout,0.1,20,0.9818,1
10% Dropout,0.1,20,0.965,1
10% Dropout,0.1,20,0.9128,1
10% Dropout,0.1,20,0.809,0
10% Dropout,0.1,20,0.9212,1
10% Dropout,0.1,20,0.8982,0
10% Dropout,0.1,20,0.9434,1
10% Dropout,0.1,30,0.9632,1
10% Dropout,0.1,30,0.9912,1
10% Dropout,0.1,30,0.924,1
10% Dropout,0.1,30,0.9964,1
10% Dropout,0.1,30,0.9732,1
10% Dropout,0.1,30,0.9612,1
10% Dropout,0.1,30,0.9276,1
10% Dropout,0.1,30,0.9832,1
10% Dropout,0.1,30,0.998,1
10% Dropout,0.1,30,0.978,1
10% Dropout,0.1,30,0.9902,1
10% Dropout,0.1,30,0.9758,1
10% Dropout,0.1,30,0.9522,1
10% Dropout,0.1,30,0.9586,1
10% Dropout,0.1,30,0.9382,1
10% Dropout,0.1,30,0.922,1
10% Dropout,0.1,30,0.977,1
10% Dropout,0.1,30,0.9362,1
10% Dropout,0.1,30,0.9822,1
10% Dropout,0.1,30,0.6708,0
10% Dropout,0.1,30,0.9724,1
10% Dropout,0.1,30,0.9736,1
10% Dropout,0.1,30,0.505,0
10% Dropout,0.1,30,0.9748,1
10% Dropout,0.1,30,0.9764,1
10% Dropout,0.1,30,0.9612,1
10% Dropout,0.1,30,0.9894,1
10% Dropout,0.1,30,0.991,1
10% Dropout,0.1,30,0.9676,1
10% Dropout,0.1,30,0.9934,1
10% Dropout,0.1,40,0.9698,1
10% Dropout,0.1,40,0.99,1
10% Dropout,0.1,40,0.953,1
10% Dropout,0.1,40,0.9918,1
10% Dropout,0.1,40,0.9638,1
10% Dropout,0.1,40,0.9228,1
10% Dropout,0.1,40,0.9902,1
10% Dropout,0.1,40,0.9526,1
10% Dropout,0.1,40,0.9874,1
10% Dropout,0.1,40,0.9558,1
10% Dropout,0.1,40,0.9508,1
10% Dropout,0.1,40,0.9622,1
10% Dropout,0.1,40,0.9306,1
10% Dropout,0.1,40,0.9892,1
10% Dropout,0.1,40,0.9816,1
10% Dropout,0.1,40,0.9838,1
10% Dropout,0.1,40,0.9742,1
10% Dropout,0.1,40,0.9812,1
10% Dropout,0.1,40,0.9938,1
10% Dropout,0.1,40,0.9514,1
10% Dropout,0.1,40,0.6386,0
10% Dropout,0.1,40,0.9764,1
10% Dropout,0.1,40,0.8852,0
10% Dropout,0.1,40,0.9778,1
10% Dropout,0.1,40,0.9578,1
10% Dropout,0.1,40,0.9984,1
10% Dropout,0.1,40,0.9694,1
10% Dropout,0.1,40,0.9822,1
10% Dropout,0.1,40,0.9914,1
10% Dropout,0.1,40,0.996,1
10% Dropout,0.1,50,0.996,1
10% Dropout,0.1,50,0.9984,1
10% Dropout,0.1,50,0.9888,1
10% Dropout,0.1,50,0.9916,1
10% Dropout,0.1,50,0.9966,1
10% Dropout,0.1,50,0.5682,0
10% Dropout,0.1,50,0.9942,1
10% Dropout,0.1,50,0.9928,1
10% Dropout,0.1,50,0.964,1
10% Dropout,0.1,50,0.9744,1
10% Dropout,0.1,50,0.602,0
10% Dropout,0.1,50,0.9978,1
10% Dropout,0.1,50,0.9948,1
10% Dropout,0.1,50,0.81,0
10% Dropout,0.1,50,0.7892,0
10% Dropout,0.1,50,0.9968,1
10% Dropout,0.1,50,0.996,1
10% Dropout,0.1,50,0.7256,0
10% Dropout,0.1,50,0.9886,1
10% Dropout,0.1,50,0.986,1
10% Dropout,0.1,50,0.9984,1
10% Dropout,0.1,50,0.995,1
10% Dropout,0.1,50,0.9932,1
10% Dropout,0.1,50,0.7954,0
10% Dropout,0.1,50,0.9958,1
10% Dropout,0.1,50,0.9858,1
10% Dropout,0.1,50,0.9842,1
10% Dropout,0.1,50,0.9966,1
10% Dropout,0.1,50,0.9692,1
10% Dropout,0.1,50,0.9984,1
10% Dropout,0.1,75,0.9984,1
10% Dropout,0.1,75,0.9956,1
10% Dropout,0.1,75,0.9992,1
10% Dropout,0.1,75,0.9976,1
10% Dropout,0.1,75,0.9896,1
10% Dropout,0.1,75,0.9974,1
10% Dropout,0.1,75,0.9992,1
10% Dropout,0.1,75,0.9954,1
10% Dropout,0.1,75,0.9986,1
10% Dropout,0.1,75,0.9864,1
10% Dropout,0.1,75,0.9936,1
10% Dropout,0.1,75,0.9992,1
10% Dropout,0.1,75,0.9798,1
10% Dropout,0.1,75,0.9978,1
10% Dropout,0.1,75,0.9968,1
10% Dropout,0.1,75,0.9962,1
10% Dropout,0.1,75,0.991,1
10% Dropout,0.1,75,0.9992,1
10% Dropout,0.1,75,0.9818,1
10% Dropout,0.1,75,1.0,1
10% Dropout,0.1,75,0.9872,1
10% Dropout,0.1,75,0.9838,1
10% Dropout,0.1,75,0.9812,1
10% Dropout,0.1,75,0.9958,1
10% Dropout,0.1,75,0.996,1
10% Dropout,0.1,75,0.9958,1
10% Dropout,0.1,75,0.9994,1
10% Dropout,0.1,75,0.9806,1
10% Dropout,0.1,75,0.996,1
10% Dropout,0.1,75,0.999,1
10% Dropout,0.1,100,0.986,1
10% Dropout,0.1,100,0.9964,1
10% Dropout,0.1,100,0.9958,1
10% Dropout,0.1,100,0.9992,1
10% Dropout,0.1,100,0.9942,1
10% Dropout,0.1,100,1.0,1
10% Dropout,0.1,100,0.9824,1
10% Dropout,0.1,100,0.9928,1
10% Dropout,0.1,100,0.997,1
10% Dropout,0.1,100,0.9994,1
10% Dropout,0.1,100,0.9996,1
10% Dropout,0.1,100,0.9982,1
10% Dropout,0.1,100,0.996,1
10% Dropout,0.1,100,0.9908,1
10% Dropout,0.1,100,0.9916,1
10% Dropout,0.1,100,0.9996,1
10% Dropout,0.1,100,0.998,1
10% Dropout,0.1,100,0.9946,1
10% Dropout,0.1,100,0.9968,1
10% Dropout,0.1,100,0.9992,1
10% Dropout,0.1,100,0.9958,1
10% Dropout,0.1,100,0.9972,1
10% Dropout,0.1,100,0.9914,1
10% Dropout,0.1,100,0.9972,1
10% Dropout,0.1,100,0.998,1
10% Dropout,0.1,100,0.991,1
10% Dropout,0.1,100,0.9992,1
10% Dropout,0.1,100,0.9996,1
10% Dropout,0.1,100,0.9984,1
10% Dropout,0.1,100,0.9912,1
10% Dropout,0.1,150,0.996,1
10% Dropout,0.1,150,0.9992,1
10% Dropout,0.1,150,0.9982,1
10% Dropout,0.1,150,0.9954,1
10% Dropout,0.1,150,0.9984,1
10% Dropout,0.1,150,0.9998,1
10% Dropout,0.1,150,0.9992,1
10% Dropout,0.1,150,0.9994,1
10% Dropout,0.1,150,0.999,1
10% Dropout,0.1,150,0.9972,1
10% Dropout,0.1,150,0.9968,1
10% Dropout,0.1,150,0.9988,1
10% Dropout,0.1,150,0.9988,1
10% Dropout,0.1,150,0.9922,1
10% Dropout,0.1,150,0.9996,1
10% Dropout,0.1,150,0.997,1
10% Dropout,0.1,150,0.9986,1
10% Dropout,0.1,150,0.9982,1
10% Dropout,0.1,150,0.9984,1
10% Dropout,0.1,150,0.9996,1
10% Dropout,0.1,150,0.9984,1
10% Dropout,0.1,150,0.9962,1
10% Dropout,0.1,150,0.9966,1
10% Dropout,0.1,150,0.995,1
10% Dropout,0.1,150,0.9974,1
10% Dropout,0.1,150,0.9996,1
10% Dropout,0.1,150,0.9974,1
10% Dropout,0.1,150,0.9946,1
10% Dropout,0.1,150,0.9994,1
10% Dropout,0.1,150,0.9964,1
10% Dropout,0.1,200,0.9998,1
10% Dropout,0.1,200,0.998,1
10% Dropout,0.1,200,0.9956,1
10% Dropout,0.1,200,0.9992,1
10% Dropout,0.1,200,0.9978,1
10% Dropout,0.1,200,0.9976,1
10% Dropout,0.1,200,0.9982,1
10% Dropout,0.1,200,0.9998,1
10% Dropout,0.1,200,0.9994,1
10% Dropout,0.1,200,0.987,1
10% Dropout,0.1,200,0.9994,1
10% Dropout,0.1,200,0.9986,1
10% Dropout,0.1,200,0.9982,1
10% Dropout,0.1,200,0.9996,1
10% Dropout,0.1,200,0.9984,1
10% Dropout,0.1,200,0.9996,1
10% Dropout,0.1,200,0.9984,1
10% Dropout,0.1,200,0.9994,1
10% Dropout,0.1,200,1.0,1
10% Dropout,0.1,200,0.9976,1
10% Dropout,0.1,200,0.9956,1
10% Dropout,0.1,200,0.9992,1
10% Dropout,0.1,200,1.0,1
10% Dropout,0.1,200,0.9994,1
10% Dropout,0.1,200,0.9992,1
10% Dropout,0.1,200,0.9994,1
10% Dropout,0.1,200,1.0,1
10% Dropout,0.1,200,0.9998,1
10% Dropout,0.1,200,1.0,1
10% Dropout,0.1,200,0.999,1
20% Dropout,0.2,5,0.486,0
20% Dropout,0.2,5,0.3286,0
20% Dropout,0.2,5,0.3926,0
20% Dropout,0.2,5,0.6908,0
20% Dropout,0.2,5,0.6126,0
20% Dropout,0.2,5,0.4638,0
20% Dropout,0.2,5,0.8482,0
20% Dropout,0.2,5,0.8672,0
20% Dropout,0.2,5,0.5162,0
20% Dropout,0.2,5,0.5366,0
20% Dropout,0.2,5,0.5914,0
20% Dropout,0.2,5,0.5588,0
