Algorithm,Triplet_Score
NeighborJoining,0.953
NeighborJoining,0.9933333333333333
NeighborJoining,0.993
NeighborJoining,0.9940000000000001
NeighborJoining,0.9773333333333335
NeighborJoining,0.992
NeighborJoining,0.9816666666666666
NeighborJoining,1.0
NeighborJoining,0.9913333333333333
NeighborJoining,0.9973333333333333
NeighborJoining,0.9876666666666667
NeighborJoining,0.9939999999999999
NeighborJoining,0.9936666666666666
NeighborJoining,0.9933333333333333
NeighborJoining,0.9666666666666668
NeighborJoining,0.996
NeighborJoining,1.0
NeighborJoining,0.9883333333333334
NeighborJoining,0.9976666666666666
NeighborJoining,0.985
NeighborJoining,0.999
NeighborJoining,0.9976666666666666
NeighborJoining,0.989
NeighborJoining,0.9963333333333333
NeighborJoining,0.997
NeighborJoining,0.995
NeighborJoining,0.9963333333333333
NeighborJoining,1.0
NeighborJoining,0.9963333333333333
NeighborJoining,0.9916666666666666
NeighborJoining,0.9966666666666667
NeighborJoining,1.0
NeighborJoining,1.0
NeighborJoining,0.9916666666666667
NeighborJoining,0.9973333333333333
NeighborJoining,0.9853333333333333
NeighborJoining,0.9746666666666665
NeighborJoining,0.9833333333333334
NeighborJoining,1.0
NeighborJoining,0.9953333333333333
NeighborJoining,0.9913333333333333
NeighborJoining,0.996
